"m026(-5,1)","m026(-5,1)",13,12,nLLLLPzPQkcegehgkmjkmkmlqhqqvstuxpfgkn,mLLLLAPAQcdghffkjkklllhshwwnhmqqxfs,1
"m039(6,1)","m039(6,1)",22,13,wLAwvLAvzzzMQQQkbcbdikjnrqsproquvtusvuvhhjqassmtksbnwbmmaloesb,nLLLLvQAQkcdghklikjkjmmmhshnaxnapmancv,1
"m037(2,3)","m037(2,3)",12,13,mLLLLAPAQacfighkijkjllnkglwiadbwruj,nLLLLPALQkbeffhiijkmkmmlxxhxcksxpbvrkn,1
"m038(-6,1)","m038(-6,1)",13,13,nLLvMMvQQkcdfifglmlmklkmhsacscheptwwsw,nLLLALvQQkbegfghmjlklmlmxximmrxrvbbowr,1
"m036(-2,3)","m036(-2,3)",11,12,lLvAwMQPccfefighjijkkumuisbfxbpsw,mLLLLLQQPcddgjjikjikllpkrfauaiqiduw,1
"m033(2,3)","m033(2,3)",12,12,mLLLLAPMQcddhghijkjkllpkrbogaatofas,mLLLwPQMPbcgfhijhijklltsmqrahkqtaxn,1
"m034(-5,2)","m034(-5,2)",12,12,mLLLLQLPQbcghgihklklkltsmssvsahqkwc,mLLvQPvQQbeghfhiklklklxxuaxsulvbfrb,1
"m149(-3,1)","m149(-3,1)",12,12,mLLvvAQQQcdifhkihllkklhsssgagneamqt,mLLvPvQQQcdhfglkjkjllkhshoolqxxpxac,1
"m081(2,3)","m081(2,3)",12,12,mLLLALMPQbegfghjilklklxxmmmrpuwvnjo,mLLvPMLQQcdefigjklljklhshosoleexawg,1
"m034(-2,3)","m034(-2,3)",12,12,mLLLLvQQQcdghiihlljlkkhshorcoxaacwr,mLLLzLQPQcdgegjijkjkllhshdchapaknwr,1
"m034(1,3)","m034(1,3)",12,12,mLLvLLQQQcdfglihjkkjklhsnkxnnkppwik,mLLLLMzQQcdghfjhllkkjlhshwwhwtllqjw,1
"m140(-4,1)","m140(-4,1)",13,12,nLLLPzzAQkacfgfhjilkmlmmnkgknpijavxeuk,mLLLMzMPQcdgefihkjllklhshewanmbrgwb,1
"m160(2,1)","m160(2,1)",12,12,mLvLMvQQQcffhgkijlkjllllilrljapihgg,mLvLvAQQQcfhjiljlkkijlllgnburarnsrd,1
"m032(7,1)","m032(7,1)",14,14,oLLLwLLPQQccdgfiklinlkmmnnhshaemlhobnbbro,oLLLLLQzAQcccfggjkijllnmnnlnagcpdwlakhwpt,1
"m120(-3,2)","m120(-3,2)",12,12,mLLLMLMMQcdgefihijklllhshewunipramp,mLLLvMAQQcdegkijljklklhsdjdsaqtaitr,1
"m116(-2,3)","m116(-2,3)",12,12,mLLLLzQQPcdfgjiikjkjllhstgxfrephijk,mLLLLPMMQcdfghgijkkjllhstgcwftxtksr,1
"m081(-1,3)","m081(-1,3)",12,13,mLLLPLPPQcdfegijijklklhsmdghdpawwkr,nLLLALAPAkcdgfejhiklllmmhshhhhahaxpixj,1
"m160(-2,3)","m160(-2,3)",12,12,mLLLLMPAQcdeihgikkjlllhspssrsimarks,mLLvvMQQQcdhhilkliiklkhsnfblamsfxtu,1
"m139(2,3)","m139(2,3)",12,13,mLLLALAPQbedgfjihlkkklxxnxxqaxaxxhn,nLLLvQzPQkacfhfjimjlkmmlnkghkixhonwqxr,1
"m078(-5,1)","m078(-5,1)",14,13,oLLLALMMzQcbedgfjiiklmlnnnxxnxxqarvaqegjs,nLLLLAPAMkcegefhkkjklmmmqpqqrvqxmxxhld,1
"m142(3,2)","m142(3,2)",12,13,mLvLLAQPQcfhijkjhliklltllroigwtrmuf,nLvLLLMQQkcghhgijkmklmlmuducccbumdapjc,1
"m137(-5,1)","m137(-5,1)",13,13,nLvLLAPMQkbgeghhjiklmmlmlmtgosngapesjs,nLLLPLLQMkcdgefilkjklmmmhshivaliarrpxq,1
"m148(-5,1)","m148(-5,1)",13,13,nLLvLLQPQkcchhkihjjkmlmmlnjvmnjjkmlwvc,nLLvAPwPQkbeghjiilmkmllmxxxaxrkhqavcnn,1
"m078(5,2)","m078(5,2)",14,14,oLLLvLMMQQccdghljmjnmlmnnlhshvaaeaplevvsj,oLLLwLPAAQccdgfjljkllmmnnnhshapapqlgooeda,1
"m139(3,2)","m139(3,2)",12,13,mLLLALAPQbedgfjihlkkklxxnxxqaxhxxhj,nLLLLLQMMkcdghhkgijljmmmhshrvxcbpqwxud,1
"m081(4,3)","m081(4,3)",13,13,nLLLLQLPAkcdfghihkkjlkmmhsmwscvqtlvwxr,nLLvLALQQkbefgikliljkmmmxxxvcqawerthoc,1
"m159(3,2)","m159(3,2)",14,14,oLLLLPzPPQcacfgjjhkknmlmmnjkgjhpirgqqjhlj,oLLLPvwAQQcbdgefhjjmllmlnndwxdgsxgfscgrxn,1
"m140(5,1)","m140(5,1)",13,13,nLLLAzMMMkbefgfijkjklmmmhhqhqhahawwqaq,nLLLAvQPMkbefgfhkjkljmmmhhmhigmegwnqua,1
"m100(5,2)","m100(5,2)",13,13,nLLMvLAQAkcdedhkkjljlkmmpkhrmhtggwbnhw,nLLLLzAQAkacfifkkiljklmmjkgqkedgnrgnpn,1
"m188(2,3)","m188(2,3)",13,12,nLvLALAMQkaegfhjkikmmllmnxgvkxlqgbrfck,mLvAwAMPQcfeeighjjkklluquqobfmemros,1
"m286(-4,1)","m286(-4,1)",14,14,oLLvAPzPPQcbefhjijmlmnmlnnxxpaxruhhtrnsvb,oLLLLLzPQQccdgfhljnkjmmnnmhfhoviuaqmfvjnv,1
"m130(-4,1)","m130(-4,1)",13,14,nLLzzPPPMkcdchjgijklkmlmhsnwqodqlrvhrj,oLLLLLzQQPccdggiiklmmkjnnnhshgcsmixarrimx,1
"m155(1,3)","m155(1,3)",13,13,nLLvAMPwQkbeghhikkjjmlmmhhhaoomatanrvn,nLLvLLQQMkcdgghlikjkkmmmhsgsoljxgpuxgr,1
"m115(5,2)","m115(5,2)",13,13,nLvAvLAQQkbefkjljlmklmmktalirhwilieiah,nLLLvzQQAkcddjkijlkillmmpkrhqaqxiiikak,1
"m135(-1,4)","m135(-1,4)",13,13,nLLvLQMAAkcdjhfigiikklmmhskssvkggipghs,nLLvQLMAMkbeghfijkijlmmmhhhaaaahqqhhrw,1
"m221(1,2)","m221(1,2)",21,12,vLvPwvzLzPAQQMQacgdgopmsnonmqqrtsttuubbgbbtdbtqplvpcbkbbsmj,mLLvLAQPQcdifjiiklljklhswwncwqmhgur,1
"m137(-5,2)","m137(-5,2)",13,13,nLLLvMPMQkbcghjlihjlmmlmtsmkatwfpqggsk,nLLLAvAAQkcdgfehiklmmkmlhshhhahohidndw,1
"m222(-4,1)","m222(-4,1)",13,13,nLvLLzPQQkcfhgkhmklmjlkmtllvushamhkmij,nLvwLAAPQkbefjihhmklkmlmhahjbgjaihiucj,1
"m221(-3,2)","m221(-3,2)",23,13,xLAvvLvwQMAQQwzQcbcbjikqmorlrporppqstuwvwxxnjwbphxxigvvgrsclbbgbb,nLLLvwPQQkbcggkijkimllmmtsmourmurqgbsn,1
"m148(-6,1)","m148(-6,1)",15,15,pLALvvAPQMQbcbehjllmnnlomoohhjsviaalhrnpviu,pLLLvLAQQMPccfjkhkjkmjlmnoolnaiinqemteqcuhk,1
"m120(1,3)","m120(1,3)",13,16,nLLLLMPMMkcdghfjhikljmmmhshwwhwwmxwhdl,qLLLAvPLQAPkcdgfellmjlnknpoophshahhgasbxjxxfjj,1
"m168(4,1)","m168(4,1)",13,13,nLvPMLPzQkccgfhhiklmlkmmhnahwsmxslcktp,nLLLzMvQQkbefggiljmkklmmxxhhvraxpmwcsv,1
